#{"t_start": 1763843689.5770948, "env_id": "None"}
r,l,t,win
-58.88,70,6306.691156,0
63.96,88,6307.1123,0
-45.19,36,6308.243433,0
-61.06,74,6308.766309,0
58.51,73,6309.788269,0
47.31,43,6310.009649,0
-49.98,41,6310.617835,0
60.06,161,6312.506624,0
-42.35,66,6313.067339,0
-54.17,96,6314.635058,0
-36.35,103,6315.486784,0
53.05,60,6316.599618,0
-50.38,80,6318.084994,0
-46.85,65,6318.670457,0
-42.52,66,6319.926867,0
-44.61,55,6320.490015,0
-51.36,49,6320.940104,0
53.82,44,6321.954004,0
-41.15,35,6322.619409,0
72.39,147,6324.612433,0
26.97,134,6326.244118,0
76.45,158,6329.518904,0
-33.7,71,6330.586604,0
-102.35,119,6332.273248,0
-26.65,121,6333.39826,0
64.35,272,6335.261169,0
58.42,94,6335.905689,0
-28.45,85,6336.478736,0
-39.38,43,6336.773134,0
-50.94,102,6337.502332,0
-33.69,111,6338.330205,0
113.89,36,6338.603853,1
-43.73,50,6338.948144,0
-34.75,154,6340.070448,0
-35.63,50,6340.405543,0
43.27,94,6341.116156,0
-45.78,73,6341.595179,0
48.51,49,6341.927976,0
60.23,77,6342.449841,0
66.28,153,6343.50278,0
-42.26,94,6344.147899,0
47.95,66,6344.614727,0
-34.3,55,6345.015321,0
-39.37,93,6345.724178,0
44.31,121,6346.670362,0
53.36,53,6347.144673,0
-40.63,97,6347.957348,0
-32.83,72,6348.485207,0
-45.87,73,6348.998424,0
55.17,42,6349.316507,0
-38.88,105,6350.160931,0
-34.73,82,6350.737365,0
-63.0,90,6351.346725,0
59.41,174,6352.451525,0
-37.77,119,6353.259574,0
-35.45,59,6353.640315,0
-37.38,98,6354.252624,0
50.55,47,6354.562829,0
56.28,112,6355.28307,0
48.1,62,6355.677501,0
65.6,79,6356.202496,0
51.76,64,6356.62392,0
-50.07,46,6356.926668,0
56.03,62,6357.316844,0
-51.15,98,6357.959518,0
53.24,38,6358.184088,0
58.53,48,6358.494068,0
-69.59,48,6358.799132,0
23.89,74,6359.282042,0
50.92,82,6359.835226,0
21.9,69,6360.306359,0
50.77,53,6360.680925,0
-40.75,88,6361.262372,0
-57.28,67,6361.692967,0
-44.1,57,6362.085047,0
-39.75,71,6362.533493,0
55.25,54,6362.915566,0
-31.99,77,6363.44571,0
-41.04,41,6363.742279,0
-55.88,94,6364.447942,0
-38.99,97,6365.134918,0
-90.85,82,6365.718083,0
52.74,80,6366.275713,0
-37.4,29,6366.468553,0
-36.32,45,6366.767876,0
-57.12,99,6367.454729,0
64.16,84,6368.02432,0
52.18,32,6368.241493,0
-32.07,61,6368.655469,0
-13.37,122,6369.510878,0
111.57,43,6369.786557,1
-29.69,60,6370.213315,0
-44.06,90,6370.853737,0
-32.17,56,6371.241637,0
54.06,48,6371.573186,0
-40.44,81,6372.120775,0
-38.24,105,6372.843736,0
56.78,146,6373.867752,0
2.83,129,6374.74509,0
-96.0,109,6375.488356,0
-42.35,56,6375.877485,0
-83.36,47,6376.221281,0
46.48,121,6377.084499,0
51.67,63,6377.539416,0
-29.5,92,6378.184409,0
54.63,126,6379.089046,0
-55.55,78,6379.638938,0
53.23,33,6379.870219,0
-103.04,106,6380.641819,0
52.54,58,6381.033573,0
-34.4,115,6381.857198,0
-37.27,48,6382.18569,0
51.22,45,6382.491141,0
-39.21,33,6382.749092,0
53.12,54,6383.1261,0
38.85,81,6383.687767,0
54.66,116,6384.502981,0
60.86,92,6385.161253,0
-33.85,52,6385.529175,0
-61.93,98,6386.220777,0
95.57,87,6386.842285,1
65.59,89,6387.459321,0
-40.53,74,6387.975136,0
-35.8,157,6389.086976,0
17.57,54,6389.453911,0
47.21,91,6390.100137,0
55.49,156,6391.212663,0
61.3,91,6391.861184,0
54.09,179,6393.123653,0
-44.14,107,6393.896338,0
58.11,55,6394.299195,0
52.22,74,6394.8208,0
49.26,56,6395.227453,0
1.12,75,6395.761663,0
58.58,55,6396.160692,0
-34.72,52,6396.536365,0
32.47,69,6397.03047,0
64.18,81,6397.587838,0
-167.16,186,6398.91722,0
-55.54,69,6399.397428,0
-31.02,71,6399.928698,0
50.86,83,6400.533534,0
47.33,107,6401.267064,0
-43.11,75,6401.8175,0
-40.53,107,6402.636198,0
-41.0,36,6402.893418,0
51.78,96,6403.591167,0
17.04,123,6404.46024,0
64.55,125,6405.366336,0
54.39,45,6405.691754,0
-49.73,52,6406.079396,0
35.74,63,6406.553494,0
-36.48,55,6406.966649,0
-39.35,90,6407.600554,0
23.79,53,6407.980615,0
55.19,44,6408.301672,0
-66.21,38,6408.602371,0
-55.52,121,6409.485823,0
-43.19,100,6410.223236,0
20.87,95,6410.968948,0
-44.58,137,6412.108869,0
-87.45,71,6412.701212,0
54.52,41,6413.020604,0
2.02,93,6413.756695,0
61.67,58,6414.225421,0
208.19,66,6414.726732,1
29.59,82,6415.365416,0
-41.39,28,6415.579181,0
-32.21,58,6416.039507,0
-120.54,147,6417.192452,0
9.77,65,6417.664716,0
-52.27,54,6418.073807,0
58.36,107,6418.86403,0
-43.76,46,6419.194317,0
-53.19,56,6419.606283,0
-32.2,55,6420.026274,0
-62.18,58,6420.436812,0
-80.31,51,6420.813622,0
62.15,92,6421.496913,0
61.57,134,6422.499141,0
-54.78,44,6422.828052,0
-41.4,94,6423.498863,0
-93.17,114,6424.35518,0
55.83,62,6424.799804,0
58.74,76,6425.357449,0
15.94,118,6426.249401,0
-39.8,26,6426.427795,0
58.49,42,6426.748132,0
106.91,101,6427.484977,1
-45.63,145,6428.552699,0
-35.36,59,6428.994528,0
28.71,83,6429.620723,0
-41.6,53,6430.025572,0
-100.76,121,6430.936636,0
24.75,91,6431.613189,0
67.79,103,6432.378145,0
-39.74,42,6432.676411,0
-126.8,169,6433.925596,0
-40.58,81,6434.545542,0
64.65,124,6435.459332,0
42.0,122,6436.357011,0
-58.38,115,6437.246472,0
-28.76,133,6438.24553,0
32.59,104,6439.021665,0
-32.77,81,6439.619863,0
-59.6,93,6440.346462,0
-204.25,190,6441.791577,0
-87.81,147,6442.922257,0
-324.42,204,6444.465463,0
-66.99,151,6445.593676,0
-94.81,101,6446.354425,0
-91.55,94,6447.053003,0
23.87,163,6448.271414,0
-123.64,115,6449.152492,0
-103.85,81,6449.767588,0
29.95,95,6450.497759,0
49.66,46,6450.833585,0
-75.67,127,6451.845413,0
-224.34,168,6453.155011,0
-147.91,124,6454.106998,0
-267.46,118,6455.043383,0
-83.87,116,6455.946144,0
-64.19,50,6456.318595,0
-130.71,102,6457.117911,0
-82.66,103,6457.901379,0
-31.19,67,6458.423183,0
63.29,60,6458.885031,0
55.1,46,6459.252924,0
111.23,21,6459.410843,1
-209.71,93,6460.135365,0
-64.87,131,6461.161545,0
-7.57,152,6462.331,0
-116.3,146,6463.460805,0
-27.87,86,6464.145123,0
-195.21,102,6464.918306,0
-73.01,98,6465.694684,0
-75.19,89,6466.399068,0
-115.53,102,6467.226394,0
-57.53,118,6468.146178,0
-34.62,67,6468.72476,0
-137.48,122,6469.711819,0
-42.66,54,6470.156288,0
-126.7,99,6470.941134,0
-160.8,133,6471.998979,0
-75.58,48,6472.381698,0
-352.65,156,6473.621231,0
-75.38,90,6474.325054,0
-43.08,114,6475.254833,0
-446.38,268,6477.408662,0
-194.25,126,6478.408885,0
38.3,126,6479.422412,0
-67.72,109,6480.313149,0
-147.61,130,6481.388533,0
-380.68,181,6482.863136,0
-155.24,165,6484.225028,0
103.09,27,6484.452408,1
-41.84,34,6484.725059,0
-27.87,125,6485.781792,0
-23.45,73,6486.37739,0
94.0,56,6486.835822,1
-124.25,71,6487.426757,0
-114.59,116,6488.381905,0
-532.37,189,6490.214401,0
-74.12,108,6491.139627,0
-60.68,70,6491.6911,0
-47.95,99,6492.505435,0
-178.27,137,6493.813049,0
-681.23,279,6496.095887,0
-39.99,100,6496.945291,0
-39.82,38,6497.294263,0
-616.35,208,6499.026743,0
-126.44,88,6499.73496,0
-226.26,150,6500.615214,0
-332.59,119,6501.312176,0
-752.59,208,6502.532921,0
-46.17,13,6502.601511,0
-234.26,172,6503.603538,0
-12.32,120,6504.326839,0
52.01,33,6504.520505,0
-798.79,283,6506.188244,0
-186.72,86,6506.709907,0
-39.04,61,6507.067567,0
-386.78,175,6508.10764,0
-38.86,52,6508.415139,0
39.83,67,6508.79042,0
-29.55,121,6509.522803,0
-391.35,172,6510.55653,0
-230.76,122,6511.265457,0
-218.77,139,6512.101069,0
-24.98,114,6512.776745,0
8.26,59,6513.152973,0
-80.3,64,6513.546742,0
-194.14,184,6514.847981,0
-193.8,96,6515.469686,0
29.41,90,6516.03541,0
-262.1,102,6516.660757,0
